"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"906","LIBERTY PK MIDDLE SCH","010343002135","73","01","-86.673200","33.478800",6,8,496
"907","LILLIE B WILLIAMSON HIGH SCH","010237000969","97","01","-88.074000","30.669800",9,12,653
"908","LIMESTONE CO AREA VOC TECH","010210000959","83","01","-86.962500","34.776900",10,12,524.598433921844
"909","LINCOLN ELEM SCH","010318001805","121","01","-86.100800","33.637200",0,5,761
"910","LINCOLN HIGH SCH","010318001214","121","01","-86.102200","33.634500",9,12,529
"911","LINDA NOLEN LEARNING CENTER","010303001803","117","01","-86.783400","33.307600",-1,12,51
"912","LINDEN ELEM SCH","010213000812","91","01","-87.799400","32.308400",-1,5,238
"913","LINDEN HIGH SCH","010213000813","91","01","-87.784900","32.304000",9,12,168
"914","LINEVILLE ELEM SCH","010075000312","27","01","-85.758000","33.310600",0,6,463
"915","LINEVILLE HIGH SCH","010075000313","27","01","-85.757700","33.311000",7,12,524.598433921844
"916","LIPSCOMB ELEM SCH","010192000724","73","01","-86.924000","33.428500",0,5,207
"917","LITCHFIELD MIDDLE SCH","010162000552","55","01","-85.965300","34.002000",6,8,191
"918","LIVINGSTON HIGH SCH","010309001191","119","01","-88.188800","32.586100",9,12,524.598433921844
"919","LIVINGSTON JR HIGH SCH","010309001192","119","01","-88.183200","32.611700",-1,8,578
"920","LOACHAPOKA ELEM SCH","010207000290","81","01","-85.579500","32.589100",-1,6,332
"921","LOACHAPOKA HIGH SCH","010207000792","81","01","-85.579500","32.589100",7,12,254
"922","LOCUST FORK ELEM","010042001427","9","01","-86.618500","33.907300",0,6,514
"923","LOCUST FORK HIGH SCH","010042000210","9","01","-86.617900","33.908400",7,12,572
"924","LONG TERM CASE","010117001631","103","01","-86.974800","34.608200",0,12,524.598433921844
"925","LOTT MIDDLE SCH","010237001438","97","01","-88.231800","31.060800",6,8,482
"926","LOUIS J MORRIS ELEM SCH","010180001529","89","01","-86.636800","34.712200",-1,5,613
"927","LOUIS PIZITZ MIDDLE SCH","010343001301","73","01","-86.794700","33.421000",6,8,1078
"928","LOUISE M SMITH DEV CTR","010024001550","1","01","-86.423000","32.448500",12,12,524.598433921844
"929","LOVELESS ACADEMIC MAGNET PROG HIGH SCH","010243001417","101","01","-86.323200","32.365800",9,12,463
"930","LOWNDES CO CAREER TECH CTR","010216000974","85","01","-86.678300","32.155200",9,12,524.598433921844
"931","LOWNDES CO MIDDLE SCH","010216001637","85","01","-86.566700","31.987200",6,8,171
"932","LOXLEY ELEM SCH","010027001714","3","01","-87.757000","30.613600",-1,6,408
"933","LUPTON JR HIGH SCH","010345001317","127","01","-87.412500","33.926100",0,8,556
"934","LUVERNE HIGH SCH","010096000368","41","01","-86.275600","31.713500",-1,12,823
"935","LYEFFION JR HIGH SCH","010087000347","35","01","-86.986600","31.541600",-1,8,177
"936","LYNN ELEM SCH","010358001465","133","01","-87.547200","34.045100",0,7,248
"937","LYNN FANNING ELEM SCH","010222001731","89","01","-86.519800","34.889000",0,5,761
"938","LYNN HIGH SCH","010358001359","133","01","-87.547200","34.045100",8,12,195
"939","M THOMPKINS EARLY CHILDHOOD SCH","010264001568","45","01","-85.658400","31.463400",0,0,180
"940","MACEDONIA SCH","010183001674","71","01","-86.001700","34.517200",0,8,190
"941","MACMILLAN INTERNATIONAL ACAD","010243001027","101","01","-86.252400","32.297500",0,5,337
"942","MADDOX MIDDLE SCH","010189000674","127","01","-87.277300","33.835700",6,8,590
"943","MADISON CO ALT SCH","010222000978","89","01","-86.523000","34.785500",1,12,524.598433921844
"944","MADISON CO CAREER TECH CTR","010222000984","89","01","-86.523000","34.785500",9,12,524.598433921844
"945","MADISON CO ELEM SCH","010222000837","89","01","-86.375500","34.702200",-1,8,455
"946","MADISON CO HIGH SCH","010222000556","89","01","-86.432000","34.737600",9,12,514
"947","MADISON CROSS ROADS ELEM SCH","010222000838","89","01","-86.712800","34.922200",-1,5,1004
"948","MADISON ELEM SCH","010000800839","89","01","-86.750500","34.697500",0,6,530
"949","MAE EANES MIDDLE SCH","010237000918","97","01","-88.084200","30.656300",6,8,363
"950","MAGNOLIA SCH","010027000648","3","01","-87.743600","30.418500",-1,6,688
"951","MAPLESVILLE HIGH SCH","010066000265","21","01","-86.878400","32.803100",0,12,456
"952","MARBURY MIDDLE SCH","010024002159","1","01","-86.474500","32.700700",6,8,508
"953","MARBURY SCH","010024000046","1","01","-86.483200","32.619000",9,12,581
"954","MARENGO CO ALT SCH","010225001583","91","01","-87.796800","32.305000",0,12,524.598433921844
"955","MARENGO CO ALT SCH","010231001455","93","01","-87.697300","34.278900",-1,6,226
"956","MARENGO CO TECH CTR","010213001380","91","01","-87.764000","32.286100",11,12,524.598433921844
"957","MARENGO HIGH SCH","010225000856","91","01","-87.802300","32.050700",0,12,242
"958","MARGARET ELEM","010306202170","115","01","-86.483200","33.678800",-1,5,603
"959","MARGARET YARBROUGH SCH","010021001259","81","01","-85.506500","32.640400",3,5,435
"960","MARION CO ALT SCH","010231000985","93","01","-87.994400","34.116700",5,12,4
"961","MARION CO HIGH SCH","010231000863","93","01","-87.915100","33.973700",7,12,265
"962","MARION HIGH SCH","010267001735","105","01","-87.334800","32.632000",7,12,406
"963","MARSHALL ALT SCH","010000600986","95","01","-86.271000","34.407400",3,12,524.598433921844
"964","MARSHALL MIDDLE SCH","010087000348","35","01","-86.951500","31.423300",6,8,199
"965","MARSHALL TECH SCH","010000600987","95","01","-86.285900","34.305400",10,12,524.598433921844
"966","MARTHA GASKINS MIDDLE SCH","010039001446","73","01","-86.706000","33.593800",0,5,491
"967","MARTHA THOMAS ELEM SCH","010237000933","97","01","-88.114600","30.754400",0,5,524.598433921844
"968","MARTIN L KING JR ELEM SCH","010336001271","125","01","-87.578100","33.190500",-1,5,362
"969","MARTIN LUTHER KING ELEM","010243001101","101","01","-86.384200","32.309600",-1,5,454
"970","MARTIN LUTHER KING JR ELEM SCH","010180000623","89","01","-86.571800","34.765700",-1,5,398
"971","MARY B AUSTIN ELEM SCH","010237000896","97","01","-88.134900","30.700600",0,5,504
"972","MARY G MONTGOMERY HIGH SCH","010237000934","97","01","-88.278500","30.780300",9,12,2093
"973","MARY W BURROUGHS ELEM SCH","010237000935","97","01","-88.163300","30.548400",-1,5,359
"974","MARYVALE ELEM SCH","010237000936","97","01","-88.087200","30.648700",-1,5,563
"975","MATTHEWS ELEM SCH","010339001283","125","01","-87.570900","33.220500",0,5,437
"976","MATTIE T BLOUNT HIGH SCH","010237000900","97","01","-88.249300","30.804600",9,12,984
"977","MAXWELL ELEM SCH","010339001284","125","01","-87.479700","33.116500",0,5,548
"978","MCADORY ELEM SCH","010192000483","73","01","-87.048600","33.289800",0,5,1123
"979","MCADORY HIGH SCH","010192000725","73","01","-87.000800","33.331000",9,12,975
"980","MCADORY MIDDLE SCH","010192002166","73","01","-87.048100","33.289500",6,8,803
"981","MCBRIDE ELEM SCH","010252001424","33","01","-87.650700","34.744500",3,5,613
"982","MCCALL JR HIGH SCH","010135000489","53","01","-87.170500","31.060300",0,8,246
"983","MCDAVID-JONES ELEM SCH","010237001437","97","01","-88.230000","31.029000",-1,5,961
"984","MCDONNELL ELEM SCH","010180000638","89","01","-86.616500","34.689700",-1,5,601
"985","MCELWAIN ELEM SCH-MAGNET","010039000155","73","01","-86.729000","33.518900",0,6,524.598433921844
"986","MCINNIS SCH","010243001694","101","01","-86.261700","32.289700",10,12,524.598433921844
"987","MCINTOSH ELEM SCH","010348001332","129","01","-88.030700","31.276000",0,5,300
"988","MCINTOSH HIGH SCH","010348001338","129","01","-88.033000","31.282100",6,12,245
"989","MCINTYRE MIDDLE SCH","010243001029","101","01","-86.332000","32.360300",6,8,524.598433921844
"990","MCKEE PREK CENTER","010243002207","101","01","-86.253000","32.292800",-1,-1,124
"991","MCKENZIE HIGH SCH","010051000229","13","01","-86.714600","31.546000",-1,12,402
"992","MCNEEL SCH - VACCA CAMPUS","010000201706","73","01","-86.710600","33.586700",7,12,524.598433921844
"993","MCPSS MAGNET SCHOOL","010237002208","97","01","-88.082300","30.761300",0,5,328
"994","MEADOW VIEW ELEM SCH","010019001460","117","01","-86.805700","33.176200",0,3,950
"995","MEADOWLAKE ELEM","010237001619","97","01","-88.236100","30.587800",-1,5,453
"996","MEADOWLANE ELEM SCH","010270001089","113","01","-85.000800","32.441300",0,5,201
"997","MEADOWVIEW ELEM SCH","010297001157","47","01","-87.067200","32.402500",0,5,252
"998","MEEK ELEM SCH","010358001466","133","01","-87.213500","34.076100",0,6,231
"999","MEEK HIGH SCH","010358001360","133","01","-87.213500","34.076100",7,12,266
"1000","MEMORIAL PK ELEM SCH","010189000675","127","01","-87.286800","33.843900",0,5,523
"1001","MENTAL HEALTH CTR","010180001653","89","01","-86.578700","34.680200",0,12,524.598433921844
"1002","MERIDIANVILLE ELEMENTARY","010222001819","89","01","-86.564100","34.881900",0,5,524.598433921844
"1003","MERIDIANVILLE MIDDLE SCH","010222001411","89","01","-86.574400","34.892300",6,8,1035
"1004","MERRITT ELEM SCH","010048000220","11","01","-85.529900","32.074700",0,6,524.598433921844
"1005","MIDFIELD AREA VOC DEPARTMENT","010235001381","73","01","-86.915900","33.450700",9,12,524.598433921844
"1006","MIDFIELD ELEM SCH","010235000890","73","01","-86.911300","33.458800",0,4,395
"1007","MIDFIELD HIGH SCH","010235000891","73","01","-86.915900","33.450700",9,12,365
"1008","MIDLAND CITY ELEM SCH","010105000391","45","01","-85.497500","31.318900",0,4,420
"1009","MILL CREEK ELEMENTARY SCHOOL","010000802133","89","01","-86.772200","34.700100",-1,6,793
"1010","MILLBROOK MIDDLE JR HIGH SCH","010129001660","51","01","-86.362000","32.498400",5,8,1291
"1011","MILLRY HIGH SCH","010348001339","129","01","-88.314700","31.638300",0,12,528
"1012","MINOR COMM SCH","010192000727","73","01","-86.936500","33.541200",0,5,430
"1013","MINOR ELEM SCH","010039000156","73","01","-86.882400","33.505200",0,5,419
"1014","MINOR HIGH SCH","010192001752","73","01","-86.927600","33.576400",9,12,1003
"1015","MITCHELL ELEM SCH","010162000563","55","01","-86.019700","34.039200",0,5,424
"1016","MOBILE ASSOC RETARDED CITIZENS","010237001625","97","01","-88.097800","30.704900",0,12,524.598433921844
"1017","MOBILE CO ALT SCH","010237001038","97","01","-88.057200","30.738700",7,8,71
"1018","MOBILE CO TRAINING MIDDLE SCH","010237000939","97","01","-88.056600","30.738900",6,8,238
"1019","MOBILE MENTAL HEALTH CTR","010237001605","97","01","-88.176400","30.624400",0,12,54
"1020","MONROE CO CAREER/TECH CTR","010240001094","99","01","-87.330700","31.483400",9,12,524.598433921844
"1021","MONROE CO HIGH SCH","010240000973","99","01","-87.333900","31.484000",9,12,495
"1022","MONROE INTERMEDIATE SCH","010240000981","99","01","-87.485800","31.773300",0,8,68
"1023","MONROEVILLE ELEM SCH","010240001562","99","01","-87.325100","31.522200",-1,4,622
"1024","MONROEVILLE JR HIGH SCH","010240000982","99","01","-87.329500","31.523700",6,8,524.598433921844
"1025","MONROEVILLE MIDDLE SCH","010240000983","99","01","-87.328100","31.524500",5,8,465
"1026","MONROVIA ELEM SCH","010222000842","89","01","-86.715000","34.785100",0,5,522
"1027","MONROVIA MIDDLE SCH","010222000560","89","01","-86.715400","34.791400",6,8,1086
"1028","MONTANA STREET ACADC MAGNET SCH","010123000452","69","01","-85.402300","31.236300",0,5,471
"1029","MONTE SANO ELEM SCH","010180000639","89","01","-86.530700","34.736500",-1,5,196
"1030","MONTEVALLO ELEM SCH","010303001176","117","01","-86.858800","33.104100",0,5,728
"1031","MONTEVALLO HIGH SCH","010303001177","117","01","-86.860400","33.103900",9,12,391
"1032","MONTEVALLO MIDDLE SCH","010303001178","117","01","-86.867000","33.094700",6,8,322
"1033","MONTGOMERY CO JAIL","010001502118","101","01","-86.307100","32.376000",-2,-2,524.598433921844
"1034","MONTGOMERY TECHNICAL EDUCATION CENTER","010243002203","101","01","-86.292400","32.371800",9,12,218
"1035","MONTGOMERY YOUTH FAC","010243001695","101","01","-86.344200","32.355000",4,12,524.598433921844
"1036","MONTVIEW ELEM SCH","010180000640","89","01","-86.606400","34.755800",-1,5,309
"1037","MOODY ELEM SCH","010306201779","115","01","-86.496100","33.594900",-1,3,765
"1038","MOODY HIGH SCH","010306201591","115","01","-86.459900","33.611100",9,12,667
"1039","MOODY JR HIGH SCH","010306201537","115","01","-86.459400","33.609700",7,8,357
"1040","MOODY MIDDLE SCH","010306201372","115","01","-86.463800","33.608100",4,6,549
"1041","MOON LAKE SCH","010114000421","49","01","-85.569100","34.566800",0,6,109
"1042","MOORER MIDDLE SCH","010141000513","5","01","-85.141200","31.915200",6,8,648
"1043","MORGAN CO LEARNING CTR","010248001526","103","01","-86.968100","34.559400",6,12,524.598433921844
"1044","MORNINGSIDE ELEM SCH","010237000940","97","01","-88.114500","30.637900",0,5,508
"1045","MORNINGVIEW ELEM SCH","010243001031","101","01","-86.267200","32.389500",0,5,541
"1046","MORRIS AVENUE INTERMEDIATE SCH","010258001566","81","01","-85.371800","32.681100",3,5,275
"1047","MORTIMER JORDAN HIGH SCH","010192000728","73","01","-86.764800","33.786400",9,12,751
"1048","MOULTON ELEM SCH","010204000785","79","01","-87.290200","34.476600",0,4,783
"1049","MOULTON MIDDLE SCH","010204000786","79","01","-87.290400","34.476000",5,8,561
"1050","MOUNDVILLE ELEM SCH","010171000589","65","01","-87.631000","33.000100",-1,6,646
"1051","MT BROOK ELEM SCH","010249001058","73","01","-86.769500","33.482400",0,6,529
"1052","MT BROOK HIGH SCH","010249001056","73","01","-86.712500","33.490900",10,12,1024
"1053","MT BROOK JR HIGH SCH","010249001057","73","01","-86.756000","33.493300",7,9,1126
"1054","MT CARMEL ELEM SCH","010222001513","89","01","-86.488500","34.793300",-1,3,599
"1055","MT GAP ELEM SCH","010180000642","89","01","-86.547300","34.625600",0,5,524.598433921844
"1056","MT GAP MIDDLE SCH","010180001530","89","01","-86.547300","34.625600",-1,8,699
"1057","MT HOPE HIGH SCH","010204000787","79","01","-87.482900","34.446500",-1,8,199
"1058","MT LAUREL ELEM SCH","010303002085","117","01","-86.630000","33.408900",0,5,655
"1059","MT OLIVE ELEM SCH","010192000729","73","01","-86.876500","33.681100",0,5,358
"1060","MT OLIVE ELEM SCH","010288001134","113","01","-85.030900","32.358900",3,6,464
"1061","MT OLIVE PRIMARY SCH","010288002192","113","01","-85.031100","32.359300",0,2,360
"1062","MULKEY ELEM SCH","010164000568","61","01","-85.885900","31.050500",0,5,650
"1063","MUNFORD ELEM SCH","010318001443","121","01","-85.944800","33.524700",0,5,775
"1064","MUNFORD HIGH SCH","010318001220","121","01","-85.948300","33.524900",9,12,463
"1065","MUNFORD MIDDLE SCH","010318002086","121","01","-85.948500","33.524700",6,8,415
"1066","MURPHY HIGH SCH","010237000942","97","01","-88.086700","30.682800",9,12,2185
"1067","MUSCLE SHOALS CTR FOR TECH","010252001382","33","01","-87.635200","34.733600",9,12,524.598433921844
"1068","MUSCLE SHOALS HIGH SCH","010252001062","33","01","-87.646900","34.743000",9,12,901
"1069","MUSCLE SHOALS MIDDLE SCH","010252001059","33","01","-87.650300","34.743600",6,8,655
"1070","MYRTLEWOOD ELEM SCH","010339001285","125","01","-87.689800","33.094700",0,5,252
"1071","N H PRICE ELEM SCH","010039000173","73","01","-86.880000","33.479400",0,5,524.598433921844
"1072","NAN GRAY DAVIS ELEM SCH","010237000910","97","01","-88.190100","30.547800",0,5,527
"1073","NATHANIEL H STEPHENS ELEM SCH","010003000005","123","01","-85.949000","32.955500",3,4,453
"1074","NEW BETHEL ELEM SCH","010084000341","33","01","-87.780800","34.643000",0,6,139
"1075","NEW BROCKTON ELEM SCH","010081001748","31","01","-85.922400","31.393000",-1,6,343
"1076","NEW BROCKTON HIGH SCH","010081001494","31","01","-85.934700","31.380300",7,12,342
"1077","NEW CENTURY TECH DEMO HIGH SCH","010180001374","89","01","-86.579900","34.754900",9,12,358
"1078","NEW HOPE ELEM SCH","010222000566","89","01","-86.401000","34.539800",-1,8,643
"1079","NEW HOPE HIGH SCH","010222000843","89","01","-86.403800","34.540300",9,12,373
"1080","NEW HORIZON ALT SCH","010033001264","73","01","-86.958200","33.402300",7,12,524.598433921844
"1081","NEW MARKET SCH","010222000844","89","01","-86.424100","34.908800",-1,6,379
"1082","NEWTON ELEM SCH","010105000392","45","01","-85.595700","31.330000",0,6,209
"1083","NEWVILLE LEARNING CTR","010174000881","67","01","-85.336700","31.416000",0,12,524.598433921844
"1084","NICHOLS-LAWSON MIDDLE SCH","010312002100","121","01","-86.240100","33.187700",6,8,570
"1085","NIGHT HIGH SCHOOL","010336001398","125","01","-87.576300","33.197900",9,12,524.598433921844
"1086","NORTH BALDWIN CTR FOR TECH","010027000664","3","01","-87.783800","30.865400",9,12,524.598433921844
"1087","NORTH BIRMINGHAM ELEM SCH","010039000158","73","01","-86.819700","33.557300",0,5,524.598433921844
"1088","NORTH HIGHLAND ELEM SCH","010192000730","73","01","-86.984000","33.426800",0,5,309
"1089","NORTH HIGHLAND SCH","010189001675","127","01","-87.287800","33.845200",-1,12,6
"1090","NORTH JACKSON HIGH SCH","010183001751","71","01","-85.792700","34.900700",9,12,464
"1091","NORTH JEFFERSON MIDDLE SCH","010192002079","73","01","-86.804600","33.779700",6,8,563
"1092","NORTH MOBILE CO MIDDLE SCH","010237002136","97","01","-88.086300","30.956700",0,8,560
"1093","NORTH ROEBUCK ELEM SCH","010039000159","73","01","-86.706400","33.591600",0,5,524.598433921844
"1094","NORTH SAND MT SCH","010183000662","71","01","-85.621600","34.848800",0,12,701
"1095","NORTH SUMTER JR HIGH SCH","010309001193","119","01","-88.256900","32.947400",0,8,119
"1096","NORTHINGTON ELEM SCH","010336001256","125","01","-87.520800","33.190800",-1,5,387
"1097","NORTHPORT ELEMENTARY SCHOOL","010339001880","125","01","-87.617400","33.304000",-1,5,577
"1098","NORTHRIDGE HIGH SCH","010336002102","125","01","-87.527500","33.244300",9,12,1246
"1099","NORTHSIDE HIGH SCH","010339001287","125","01","-87.633100","33.470200",9,12,450
"1100","NORTHSIDE MIDDLE SCH","010339002087","125","01","-87.629800","33.466000",6,8,363
"1101","NORTHSIDE SCH","010258000349","81","01","-85.382100","32.657200",3,5,341
"1102","NORTHSIDE-HENDERSON ELEM SCH","010315001204","121","01","-86.108600","33.439600",-1,6,524.598433921844
"1103","NORTHVIEW HIGH SCH","010123001501","69","01","-85.381400","31.267600",9,12,1273
"1104","NORWOOD ELEM SCH","010039000161","73","01","-86.801900","33.541000",0,5,524.598433921844
"1105","NOTASULGA HIGH SCH","010219000824","87","01","-85.656600","32.560700",0,12,329
"1106","O'ROURKE ELEM SCH","010237001813","97","01","-88.232100","30.650500",0,5,986
"1107","OAK GROVE ELEM SCH","010192001453","73","01","-87.163000","33.468100",0,5,577
"1108","OAK GROVE HIGH SCH","010192000732","73","01","-87.159700","33.469700",6,12,885
"1109","OAK HILL SCH","010336001610","125","01","-87.587200","33.194300",6,12,45
"1110","OAK MT ELEM SCH","010303001804","117","01","-86.711600","33.368700",0,3,710
"1111","OAK MT HIGH SCH","010303001189","117","01","-86.734200","33.366500",9,12,1645
"1112","OAK MT INTERMEDIATE SCH","010303000324","117","01","-86.735300","33.363800",4,5,771
"1113","OAK MT MIDDLE SCH","010303000124","117","01","-86.710800","33.369300",6,8,1153
"1114","OAK PK MIDDLE SCH","010117000433","103","01","-86.966000","34.587800",6,8,702
"1115","OAKDALE PRIMARY SCH","010336001257","125","01","-87.600500","33.190200",-1,5,286
"1116","OAKMAN ELEM SCH","010345001319","127","01","-87.386500","33.718400",-1,8,648
"1117","OAKMAN HIGH SCH","010345001320","127","01","-87.383300","33.722400",9,12,293
"1118","ODENVILLE ELEM SCH","010306200219","115","01","-86.397600","33.679000",-1,2,415
"1119","ODENVILLE INTERMEDIATE","010306201877","115","01","-86.399900","33.678500",3,5,350
"1120","ODENVILLE MIDDLE SCH","010306201172","115","01","-86.396500","33.678000",6,8,465
"1121","OGLETREE SCH","010021001254","81","01","-85.456700","32.564000",3,5,445
"1122","OHATCHEE ELEM SCH","010054001428","15","01","-86.003000","33.788300",-1,6,531
"1123","OHATCHEE HIGH SCH","010054000240","15","01","-86.001400","33.786000",7,12,515
"1124","OLD SHELL CREATIVE PERFORMING ART","010237000943","97","01","-88.119000","30.693600",0,5,518
"1125","OLIN VOC SCH","010039001316","73","01","-86.888900","33.521900",7,12,524.598433921844
"1126","OLIVE J DODGE ELEM SCH","010237000915","97","01","-88.163700","30.635500",0,5,1027
"1127","OLIVER ELEM SCH","010288001135","113","01","-85.167900","32.298900",0,6,452
"1128","OLIVER ELEM SCH","010039000163","73","01","-86.731800","33.536900",-1,5,524.598433921844
"1129","ONEONTA ELEM SCH","010255000583","9","01","-86.495900","33.933300",0,5,686
"1130","ONEONTA HIGH SCH","010255001064","9","01","-86.495900","33.933300",9,12,435
"1131","OPELIKA HIGH SCH","010258001070","81","01","-85.369400","32.668100",9,12,1258
"1132","OPELIKA LEARNING CTR","010258002098","81","01","-85.367400","32.655900",6,12,524.598433921844
"1133","OPELIKA MIDDLE SCH","010258001071","81","01","-85.384800","32.659900",6,8,984
"1134","OPP HIGH SCH","010261001073","39","01","-86.239500","31.288600",9,12,364
"1135","OPP MIDDLE SCH","010261001074","39","01","-86.251800","31.287000",5,8,380
"1136","OPPORTUNITY CENTER AT RIGGINS","010039001866","73","01","-86.802800","33.568400",6,12,524.598433921844
"1137","ORANGE BEACH ELEM SCH","010027000549","3","01","-87.557800","30.297000",0,6,489
"1138","ORCHARD ELEM SCH","010237000944","97","01","-88.191800","30.726400",-1,5,453
"1139","OSSIE WARE MITCHELL ELEM SCH","010039001823","73","01","-86.717300","33.565800",6,8,325
"1140","OWENS CROSS ROADS ELEM SCH","010222000846","89","01","-86.456000","34.588500",-1,6,348
"1141","OWENS ELEM SCH","010210000805","83","01","-87.046000","34.855200",0,5,479
"1142","OXFORD AREA VOC SCH","010263501384","121","01","-85.934700","33.582900",9,12,524.598433921844
"1143","OXFORD ELEM SCH","010263501076","15","01","-85.867800","33.593600",0,4,777
"1144","OXFORD HIGH SCH","010263501075","121","01","-85.934700","33.582900",9,12,1230
"1145","OXFORD MIDDLE SCH","010263501383","15","01","-85.876200","33.596500",7,8,659
"1146","P.A.S.S. ACAD","010123001331","69","01","-85.388500","31.242900",-2,-2,524.598433921844
"1147","PAINE INTERMEDIATE SCH","010001301498","73","01","-86.566900","33.649500",3,5,975
"1148","PAINE PRIMARY SCH","010001301502","73","01","-86.568100","33.648800",0,2,898
"1149","PAINT ROCK VALLEY HIGH SCH","010183000663","71","01","-86.243000","34.844200",0,12,86
"1150","PARAMOUNT JR HIGH SCH","010168000578","63","01","-88.029000","32.791400",0,8,281
"1151","PARK CROSSING HIGH SCHOOL","010243002214","101","01","-86.054400","32.373000",9,12,528
"1152","PARKER HIGH SCH","010039000165","73","01","-86.829300","33.514600",9,12,884
"1153","PARKSIDE ELEM SCH","010102000373","43","01","-86.610400","34.268100",0,8,344
"1154","PARRISH ELEM SCH","010345001321","127","01","-87.279000","33.733600",-1,6,245
"1155","PARRISH HIGH SCH","010345001322","127","01","-87.278900","33.732900",7,12,238
"1156","PATERSON ACAD OF CREATIVE ED","010243002157","101","01","-86.355000","32.347900",6,12,51
"1157","PATHWAY INC","010003801849","31","01","-85.895200","31.418200",-2,-2,524.598433921844
"1158","PAUL W BRYANT HIGH","010336002101","125","01","-87.453000","33.157600",9,12,863
"1159","PAYNE ELEM SCH","010297001158","47","01","-87.020400","32.420300",-1,5,328
"1160","PEARL HASKEW ELEM","010237001620","97","01","-88.233700","30.544500",0,5,582
"1161","PELHAM HIGH SCH","010303001179","117","01","-86.821200","33.312900",9,12,1846
"1162","PELL CITY HIGH SCH","010265001573","115","01","-86.294400","33.583900",9,12,1187
"1163","PERDIDO ELEM SCH","010027000062","3","01","-87.621400","31.004300",-1,8,486
"1164","PERRY VARNER BOOT CAMP","010001502131","47","01","-87.020900","32.407400",-2,-2,524.598433921844
"1165","PETER F ALBA MIDDLE SCH","010237000895","97","01","-88.247300","30.396100",6,8,628
"1166","PETER J KIRKSEY CAREER CTR","010168000864","63","01","-87.918700","32.846400",9,12,524.598433921844
"1167","PETER JOE HAMILTON ELEM SCH","010237000925","97","01","-88.082300","30.761300",-1,5,524.598433921844
"1168","PHENIX CITY ELEM SCH","010270001548","113","01","-85.025300","32.482100",0,5,760
"1169","PHENIX CITY HEADSTART","010270001655","113","01","-85.023000","32.466200",-1,-1,524.598433921844
"1170","PHENIX CITY INTERMEDIATE SCH","010270001090","113","01","-85.021500","32.479400",6,7,991
"1171","PHIL CAMPBELL ELEM SCH","010159001861","59","01","-87.710500","34.350100",-1,6,417
"1172","PHIL CAMPBELL HIGH SCH","010159000544","59","01","-87.706900","34.350100",7,12,372
"1173","PHILLIPS ACAD","010039001878","73","01","-86.805100","33.523200",-1,8,739
"1174","PHILLIPS HIGH SCH","010231000869","93","01","-87.697400","34.279300",7,12,219
"1175","PHILLIPS PREPARATORY MIDDLE SCH","010237000947","97","01","-88.120300","30.696900",6,8,880
"1176","PHOENIX ?SCH","010297000540","47","01","-87.002600","32.404400",4,11,524.598433921844
"1177","PICKENS CO HIGH SCH","010273001102","107","01","-88.015100","33.375700",7,12,303
"1178","PIEDMONT ELEM SCH","010276001109","15","01","-85.615700","33.927100",0,5,615
"1179","PIEDMONT HIGH SCH","010276001108","15","01","-85.622600","33.929000",9,12,340
"1180","PIEDMONT MIDDLE SCH","010276001818","15","01","-85.614400","33.927500",6,8,280
"1181","PIKE CO ALT LEARNING CTR","010279002155","109","01","-85.972300","31.806600",5,12,524.598433921844
"1182","PIKE CO ELEM SCH","010279001115","109","01","-85.820800","31.732200",0,6,408
"1183","PIKE CO HIGH SCH","010279001112","109","01","-85.817900","31.711200",7,12,472
"1184","PILLANS MIDDLE SCH","010237000946","97","01","-88.085400","30.628500",6,8,541
"1185","PINE GROVE ELEM SCH","010027001715","3","01","-87.749000","30.865500",-1,6,515
"1186","PINE LEVEL ELEM SCH","010024000543","1","01","-86.463000","32.589400",0,5,884
"1187","PINECREST ELEM SCH","010312001199","121","01","-86.271500","33.155700",3,5,525
"1188","PINEDALE ELEM SCH","010132000480","31","01","-85.837200","31.305300",1,6,419
"1189","PINEY CHAPEL ELEM SCH","010210000806","83","01","-86.933000","34.856000",0,5,208
"1190","PINSON ELEM SCH","010192000733","73","01","-86.681800","33.690200",0,2,838
"1191","PINSON VALLEY HIGH SCH","010192000734","73","01","-86.668400","33.704800",9,12,1028
"1192","PINTLALA ELEM SCH","010243001034","101","01","-86.371500","32.175900",-1,6,195
"1193","PISGAH HIGH SCH","010183001532","71","01","-85.844100","34.681900",0,12,669
"1194","PLAINVIEW SCH","010114000422","49","01","-85.821900","34.483600",0,12,1105
"1195","PLEASANT GROVE ELEM SCH","010192000736","73","01","-86.972600","33.490500",0,5,649
"1196","PLEASANT GROVE ELEM SCH","010078000320","29","01","-85.635100","33.523500",-1,6,244
"1197","PLEASANT GROVE HIGH SCH","010192000737","73","01","-86.997200","33.497500",9,12,548
"1198","PLEASANT GROVE MIDDLE SCH","010192002169","73","01","-86.972800","33.488300",6,8,394
"1199","PLEASANT HOME SCH","010093000361","39","01","-86.612800","31.158400",0,12,533
"1200","PLEASANT VALLEY ELEM SCH","010054001429","15","01","-85.810600","33.885600",0,6,582
"1201","PLEASANT VALLEY HIGH SCH","010054001488","15","01","-85.817300","33.886300",7,12,527
"1202","POINTE ACAD","010237001000","97","01","-88.081500","30.702200",6,12,524.598433921844
"1203","POINTE ACADEMY","010017502112","97","01","-88.083700","30.705100",-2,-2,524.598433921844
